type,count
track,16715.970
unclassified,9816.720
residential,6442.234
tertiary,4520.771
secondary,2730.453
primary,2648.599
path,2005.954
service,1363.585
trunk,981.248
footway,317.482
trunk_link,221.112
pedestrian,115.439
primary_link,100.586
bridleway,96.861
construction,77.482
cycleway,70.536
tertiary_link,37.735
secondary_link,35.531
road,19.049
steps,17.772
living_street,9.700
raceway,9.682
rest_area,3.286
services,1.070
track;residential,0.226
razed,0.095
proposed,0.090
bus_stop,0.014
yes,0.009
